DateTime,Location,Pollutant,Concentration,AQI
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,NO,42.6,3
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,PM10,27.0,3
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.23,1
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,2.28,2
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,PM25,22.8,4
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,FN,2.75,2
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.98,1
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,NO,33.4,3
2017-05-02 15:00:00+02:00,Amsterdam-Stadhouderskade,NO2,36.1,4
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.26,1
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,2.98,2
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,NO2,35.9,4
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,PM25,18.1,3
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,PM10,28.4,3
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,FN,2.08,2
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.29,1
2017-05-02 16:00:00+02:00,Amsterdam-Stadhouderskade,NO,34.3,3
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.21,1
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.64,1
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.39,2
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,NO2,28.2,3
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,PM25,12.4,2
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,PM10,19.1,2
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.92,2
2017-05-02 17:00:00+02:00,Amsterdam-Stadhouderskade,NO,26.1,3
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,11.9,5
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,20.31,6
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,NO2,26.7,3
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,PM25,13.5,2
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,PM10,18.1,2
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.56,2
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,2.68,2
2017-05-02 18:00:00+02:00,Amsterdam-Stadhouderskade,NO,24.3,2
2017-05-02 19:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,3.38,2
2017-05-02 19:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,6.04,4
2017-05-02 19:00:00+02:00,Amsterdam-Stadhouderskade,NO2,25.0,3
2017-05-02 19:00:00+02:00,Amsterdam-Stadhouderskade,PM25,13.7,2
2017-05-02 19:00:00+02:00,Amsterdam-Stadhouderskade,PM10,9.8,1
2017-05-02 19:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.41,2
